distName,st_cen_cd,censuscode,SOL
Chandigarh,4,55,11805.1
Tirunelveli,33,628,25560.402
Udalguri,18,326,8072.56
Washim,27,502,11511.609
West Kameng,12,246,3233.96
Surat,24,492,68655.266
Baramula,1,8,6017.28
North Tripura,16,292,5877.76
Kollam,32,600,9517.03
Lower Subansiri,12,255,1958.7899
Palwal,6,89,14842.75
Ramgarh,20,361,15732.03
Mirzapur,9,199,23818.078
Ghazipur,9,195,25074.22
Bikaner,8,101,63986.79
Mahe,34,636,64.759995
South,11,243,2033.1201
Tiruvannamalai,33,606,15150.54
Udupi,29,569,7549.7505
Bellary,29,565,41360.867
Agra,9,146,52254.76
Jamui,10,238,12170.51
Harda,23,448,7096.29
Sonipat,6,76,22116.611
Gondiya,27,507,8714.81
Hailakandi,18,318,2566.8
Churachandpur,14,274,3692.2998
Bhopal,23,444,34474.297
Panchkula,6,69,10162.91
Sonbhadra,9,200,24656.23
Jhalawar,8,129,22863.29
South,7,98,29385.041
Mahendragarh,6,84,11192.04
Sawai Madhopur,8,108,18733.99
Shimla,2,33,7825.54
South 24 Parganas,19,343,58686.78
Pratapgarh,8,131,9896.38
Jaintia Hills,17,299,5466.92
Kapurthala,3,36,10587.68
Hisar,6,80,23479.709
Mandi,2,27,6828.0303
Faridabad,6,88,33303.26
Hoshangabad,23,449,16010.959
Hoshiarpur,3,38,13391.221
Jodhpur,8,113,93637.72
Anuppur,23,461,10977.17
Mumbai,27,519,15729.2295
Thiruvarur,33,619,5171.44
Uttara Kannada,29,563,12787.189
Bandipore,1,9,3083.7
Sabar Kantha,24,472,21945.99
Rohtak,6,82,15489.469
Mandla,23,454,9331.05
Faizabad,9,177,18086.54
Champhai,15,284,1475.52
Jalaun,9,165,19792.83
Purba Medinipur,19,345,27346.74
North West,7,90,46539.55
Ganjam,21,388,19453.98
Jhansi,9,166,29889.969
Mathura,9,145,34117.094
Bankura,19,339,23626.72
Fatehgarh Sahib,3,40,8397.04
Dhaulpur,8,106,11009.01
Bageshwar,5,63,2859.07
Belgaum,29,555,43071.45
Mau,9,192,17469.64
Vadodara,24,486,57733.46
Kolhapur,27,530,20364.559
Araria,10,209,13997.74
Phek,13,266,1703.8201
Ashoknagar,23,459,12927.34
Perambalur,33,615,4321.79
Mandsaur,23,433,16622.098
Gwalior,23,421,39422.55
Guntur,28,548,46338.543
Chennai,33,603,15301.84
Saran (chhapra),10,219,27065.44
Darjiling,19,327,11944.85
Chittoor,28,554,44358.438
Guna,23,458,24253.64
Banka,10,225,14813.55
Chamoli,5,57,10446.86
Muzaffarnagar,9,133,29825.309
Sagar,23,427,44555.664
Azamgarh,9,191,28354.58
Kurnool,28,552,33122.82
The Nilgiris,33,611,4530.96
Coimbatore,33,632,29746.71
Nalanda,10,229,21602.74
Godda,20,351,8861.52
Chikmagalur,29,570,13087.43
